Title,Authors,Publication Date,Publication Link
"Associations between the Gut Microbiome and Metabolic, Inflammatory and Appetitive Effects of Sleeve Gastrectomy","['Renshaw, D.', 'Farnaud, S.', 'Turner, M.']",Sept 2023,https://pureportal.coventry.ac.uk/en/publications/associations-between-the-gut-microbiome-and-metabolic-inflammator
Behavioural and physiological indicators of anxiety reflect shared and distinct profiles across individuals with neurogenetic syndromes,"['Renshaw, D.']",Aug 2023,https://pureportal.coventry.ac.uk/en/publications/behavioural-and-physiological-indicators-of-anxiety-reflect-share
Big Data in multiscale modelling: from medical image processing to personalized models,"['Jakovljević, D.']",22 May 2023,https://pureportal.coventry.ac.uk/en/publications/big-data-in-multiscale-modelling-from-medical-image-processing-to
CellShip®: an ambient temperature transport and short-term storage medium for mammalian cell cultures,"['Turner, M.', 'Renshaw, D.', 'Farnaud, S.']",28 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/cellship-an-ambient-temperature-transport-and-short-term-storage-
Challenges in the Management of Non-Alcoholic Fatty Liver Disease (NAFLD): Towards a Compassionate Approach,"['Kyrou, I.']",Sept 2023,https://pureportal.coventry.ac.uk/en/publications/challenges-in-the-management-of-non-alcoholic-fatty-liver-disease
Computer-aided de novo design and optimization of novel potential inhibitors of HIV-1 Nef protein,"['Deganutti, G.', 'Pipitò, L.']",Jun 2023,https://pureportal.coventry.ac.uk/en/publications/computer-aided-de-novo-design-and-optimization-of-novel-potential
Designer GLP1 poly-agonist peptides in the management of diabesity,"['Kyrou, I.']",24 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/designer-glp1-poly-agonist-peptides-in-the-management-of-diabesit
Disruption of Dcp1 leads to a Dcp2‐dependent aberrant ribosome profiles in Aspergillus nidulans,"['Morozov, I. Y.']",May 2023,https://pureportal.coventry.ac.uk/en/publications/disruption-of-dcp1-leads-to-a-dcp2dependent-aberrant-ribosome-pro
"Effects of Acute Caffeine Ingestion on Cognitive Performance before and after Repeated Small-Sided Games in Professional Soccer Players: A Placebo-Controlled, Randomized Crossover Trial","['Clivatti Furigo, I.', 'Tallis, J.', 'Guimarães-Ferreira, L.']",10 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/effects-of-acute-caffeine-ingestion-on-cognitive-performance-befo
Effects of resistance exercise and whey protein supplementation on metabolic flexibility and glucose homeostasis in healthy older men,"['Renshaw, D.', 'Duncan, M.']",5 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/effects-of-resistance-exercise-and-whey-protein-supplementation-o-2
"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification","['Deganutti, G.', 'Reynolds, C.']",7 Sept 2023,https://pureportal.coventry.ac.uk/en/publications/gwas-of-random-glucose-in-476326-individuals-provide-insights-int
Heart rate variability and haemodynamic function in individuals with hypertrophic cardiomyopathy,"['Okwose, N. C.', 'Jakovljevic, D. G.']",Nov 2023,https://pureportal.coventry.ac.uk/en/publications/heart-rate-variability-and-haemodynamic-function-in-individuals-w
Influence of mobile genetic elements and insertion sequences in long- and short-term adaptive processes of Acidithiobacillus ferrooxidans strains,"['Johnson, D. B.']",5 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/influence-of-mobile-genetic-elements-and-insertion-sequences-in-l
"Klotho, the Greek goddess controlling the fate of skeletal muscle satellite cells","['Turner, M. C.']",1 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/klotho-the-greek-goddess-controlling-the-fate-of-skeletal-muscle-
Longitudinal associations between self-reported sleep duration and cardiometabolic disease risk in corporate executives,"['Roden, L.']",10 Oct 2023,https://pureportal.coventry.ac.uk/en/publications/longitudinal-associations-between-self-reported-sleep-duration-an
Machine learning and physical based modeling for cardiac hypertrophy,"['Jakovljević, Đ.']",3 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/machine-learning-and-physical-based-modeling-for-cardiac-hypertro
"Physical Activity, Inactivity and Sleep in Individuals with Hypertrophic Cardiomyopathy","['Okwose, N.', 'Fuller, A.', 'Jakovljevic, D.']",27 Oct 2023,https://pureportal.coventry.ac.uk/en/publications/physical-activity-inactivity-and-sleep-in-individuals-with-hypert
PLL-based Enhanced Control of Boost PFC Converter for Smart Farming Lighting Application,"['Lin Pay, M.', 'Christensen, J.', 'He, F.', 'Roden, L.']",Dec 2023,https://pureportal.coventry.ac.uk/en/publications/pll-based-enhanced-control-of-boost-pfc-converter-for-smart-farmi
Probing the Interactions of Thiazole Abietane Inhibitors with the Human Serine Hydrolases ABHD16A and ABHD12,"['Ng, C. P.', 'Reynolds, C.', 'Greaves, J.']",12 Oct 2023,https://pureportal.coventry.ac.uk/en/publications/probing-the-interactions-of-thiazole-abietane-inhibitors-with-the
"Random glucose GWAS in 493,036 individuals provides insights into diabetes pathophysiology, complications and treatment stratification",[],2023,https://pureportal.coventry.ac.uk/en/publications/random-glucose-gwas-in-493036-individuals-provides-insights-into-
Sacubitril/valsartan reverses cardiac structure and function in experimental model of hypertension-induced hypertrophic cardiomyopathy,[],30 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/sacubitrilvalsartan-reverses-cardiac-structure-and-function-in-ex
Targeting hPKM2 in cancer: A bio isosteric approach for ligand design,"['Pipitò, L.', 'Deganutti, G.']",May 2023,https://pureportal.coventry.ac.uk/en/publications/targeting-hpkm2-in-cancer-a-bio-isosteric-approach-for-ligand-des
The effect of medical grade compression garments on the repeated-bout effect in non-resistance trained men,"['Brown, F.', 'Hill, M.', 'Renshaw, D.', 'Tallis, J.']",1 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-medical-grade-compression-garments-on-the-repeated-
The impact of metabolic endotoxaemia on the browning process in human adipocytes,"['Kyrou, I.']",19 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-metabolic-endotoxaemia-on-the-browning-process-in-h
The Role of Cardiopulmonary Exercise Testing in Hypertrophic Cardiomyopathy,"['Jakovljevic, D. G.']",13 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/the-role-of-cardiopulmonary-exercise-testing-in-hypertrophic-card
Transcriptional Landscape of 3D vs. 2D Ovarian Cancer Cell Models,"['Kyrou, I.']",Jul 2023,https://pureportal.coventry.ac.uk/en/publications/transcriptional-landscape-of-3d-vs-2d-ovarian-cancer-cell-models
Triplex metallohelices have enantiomer-dependent mechanisms of action in colon cancer cells,"['Bridgewater, H. E.']",18 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/triplex-metallohelices-have-enantiomer-dependent-mechanisms-of-ac
Unlocking Dendritic Cell-Based Vaccine Efficacy through Genetic Modulation: How Soon Is Now?,"['Elwakeel, A. A. S. A.', 'Bridgewater, H.']",23 Nov 2023,https://pureportal.coventry.ac.uk/en/publications/unlocking-dendritic-cell-based-vaccine-efficacy-through-genetic-m
Prolonged Sedentary Time May Modulate Glycemic Response To A 12-week Dietary Intervention In Obesity,"['Mackenzie, R. W. A.']",Sept 2022,https://pureportal.coventry.ac.uk/en/publications/prolonged-sedentary-time-may-modulate-glycemic-response-to-a-12-w
